,0,1,2,3
610,0.0,0.02,-0.05,0.08
611,0.0,0.0,-0.07,0.07
612,0.0,0.06,-0.0,0.13
613,0.0,-0.04,-0.11,0.03
614,0.0,0.02,-0.04,0.08
615,0.0,0.0,-0.07,0.07
616,0.0,-0.06,-0.12,0.0
617,0.0,0.01,-0.05,0.07
618,0.0,-0.04,-0.11,0.03
619,0.0,0.01,-0.05,0.08
620,0.0,-0.02,-0.08,0.05
621,0.0,-0.01,-0.07,0.06
622,0.0,-0.0,-0.07,0.06
623,0.0,0.05,-0.02,0.12
624,0.0,-0.01,-0.07,0.05
625,0.0,-0.03,-0.09,0.04
626,0.0,-0.02,-0.08,0.04
627,0.0,0.01,-0.06,0.07
628,0.0,0.05,-0.03,0.12
629,0.0,0.01,-0.06,0.07
630,0.0,0.09,0.02,0.15
631,0.0,-0.01,-0.07,0.06
632,0.0,-0.05,-0.12,0.02
633,0.0,-0.11,-0.17,-0.04
634,0.0,-0.04,-0.11,0.03
635,0.0,0.02,-0.04,0.09
636,0.0,0.03,-0.03,0.1
637,0.0,0.03,-0.03,0.09
638,0.0,0.01,-0.06,0.07
639,0.0,-0.03,-0.1,0.04
640,0.0,0.02,-0.04,0.09
641,0.0,0.02,-0.05,0.08
642,0.0,-0.03,-0.1,0.03
643,0.0,-0.01,-0.08,0.05
644,0.0,0.01,-0.05,0.07
645,0.0,-0.01,-0.07,0.06
646,0.0,0.04,-0.02,0.1
647,0.0,0.05,-0.01,0.12
648,0.0,-0.09,-0.16,-0.02
649,0.0,0.03,-0.03,0.1
650,0.0,-0.02,-0.09,0.05
651,0.0,0.02,-0.05,0.09
652,0.0,-0.01,-0.07,0.06
653,0.0,-0.03,-0.1,0.04
654,0.0,0.02,-0.05,0.09
655,0.0,-0.01,-0.08,0.06
656,0.0,0.03,-0.03,0.09
657,0.0,0.01,-0.06,0.07
658,0.0,-0.01,-0.07,0.06
659,0.0,0.06,-0.01,0.13
660,0.0,0.02,-0.05,0.08
661,0.0,0.05,-0.01,0.11
662,0.0,0.01,-0.05,0.08
663,0.0,-0.01,-0.08,0.06
664,0.0,0.04,-0.02,0.1
665,0.0,0.06,-0.01,0.13
666,0.0,-0.03,-0.09,0.04
667,0.0,-0.0,-0.06,0.06
668,0.0,-0.0,-0.07,0.07
669,0.0,-0.01,-0.07,0.06
670,0.0,-0.01,-0.08,0.05
671,0.0,0.05,-0.02,0.11
672,0.0,0.0,-0.05,0.06
673,0.0,0.05,-0.02,0.11
674,0.0,0.03,-0.04,0.09
675,0.0,-0.01,-0.08,0.05
676,0.0,0.05,-0.02,0.11
677,0.0,-0.02,-0.08,0.05
678,0.0,0.01,-0.06,0.07
679,0.0,0.01,-0.06,0.07
680,0.0,0.05,-0.01,0.11
681,0.0,0.06,-0.0,0.12
682,0.0,0.01,-0.05,0.07
683,0.0,-0.01,-0.08,0.06
684,0.0,0.06,-0.01,0.13
685,0.0,0.02,-0.04,0.09
686,0.0,-0.0,-0.07,0.07
687,0.0,-0.02,-0.09,0.04
688,0.0,-0.0,-0.07,0.06
689,0.0,0.01,-0.06,0.08
690,0.0,0.04,-0.02,0.11
691,0.0,-0.01,-0.07,0.05
692,0.0,-0.07,-0.13,-0.0
693,0.0,0.01,-0.05,0.07
694,0.0,0.03,-0.04,0.1
695,0.0,-0.07,-0.14,0.0
696,0.0,0.05,-0.01,0.12
697,0.0,-0.05,-0.12,0.02
698,0.0,-0.04,-0.1,0.03
699,0.0,0.03,-0.03,0.1
700,0.0,0.01,-0.05,0.08
701,0.0,-0.0,-0.07,0.06
702,0.0,-0.03,-0.1,0.04
703,0.0,-0.0,-0.07,0.07
704,0.0,-0.07,-0.14,-0.01
705,0.0,0.04,-0.03,0.1
706,0.0,0.0,-0.06,0.06
707,0.0,0.03,-0.03,0.09
708,0.0,-0.05,-0.11,0.01
709,0.0,-0.03,-0.1,0.04
710,0.0,-0.04,-0.11,0.02
711,0.0,0.03,-0.03,0.1
712,0.0,0.01,-0.06,0.07
713,0.0,0.04,-0.03,0.1
714,0.0,0.02,-0.04,0.08
